Company Name,Ticker
20 Microns,20MICRONS.NS
21st Century Management Services,21STCENMGM.NS
360 ONE WAM,360ONE.NS
3B Blackbio Dx,3BBLACKBIO.NS
3i Infotech,3IINFOLTD.NS
3M India,3MINDIA.NS
3P Land Holdings,3PLAND.NS
5Paisa Capital,5PAISA.NS
63 moons technologies,63MOONS.NS
A2Z Infra Engineering,A2ZINFRA.NS
AAA Technologies,AAATECH.NS
Aadhar Housing Finance,AADHARHFC.NS
Aakash Exploration Services,AAKASH.NS
Aarey Drugs & Pharmaceuticals,AAREYDRUGS.NS
Aarnav Fashions,AARNAV.NS
Aaron Industries,AARON.NS
Aartech Solonics,AARTECH.NS
Aarti Drugs,AARTIDRUGS.NS
Aarti Industries,AARTIIND.NS
Aarti Pharmalabs,AARTIPHARM.NS
Aarti Surfactants,AARTISURF.NS
Aarvi Encon,AARVI.NS
Aavas Financiers,AAVAS.NS
Abans Enterprises,ABANSENT.NS
ABB India,ABB.NS
Abbott India,ABBOTINDIA.NS
Aditya Birla Capital,ABCAPITAL.NS
A B Cotspin India,ABCOTS.NS
Allied Blenders and Distillers,ABDL.NS
Aditya Birla Fashion and Retail,ABFRL.NS
A B Infrabuild,ABINFRA.NS
Aditya Birla Lifestyle Brands,ABLBL.NS
ABM International,ABMINTLLTD.NS
ABM Knowledgeware,ABMKNO.NS
Aditya Birla Real Estate,ABREL.NS
Aditya Birla Sun Life AMC,ABSLAMC.NS
ACC,ACC.NS
Accelya Solutions India,ACCELYA.NS
Accuracy Shipping,ACCURACY.NS
Action Construction Equipment,ACE.NS
Ace Integrated Solutions,ACEINTEG.NS
Archean Chemical Industries,ACI.NS
Andhra Cements,ACL.NS
Acme Solar Holdings,ACMESOLAR.NS
ACS Technologies,ACSTECH.NS
Acutaas Chemicals,ACUTAAS.NS
Adani Energy Solutions,ADANIENSOL.NS
Adani Enterprises,ADANIENT.NS
Adani Green Energy,ADANIGREEN.NS
Adani Ports and Special Economic Zone,ADANIPORTS.NS
Adani Power,ADANIPOWER.NS
ADF Foods,ADFFOODS.NS
Archidply Decor,ADL.NS
Ador Welding,ADOR.NS
Adroit Infotech,ADROITINFO.NS
Allied Digital Services,ADSL.NS
Advait Energy Transitions,ADVAIT.NS
Advance Agrolife,ADVANCE.NS
Advani Hotels & Resorts (India),ADVANIHOTR.NS
Advent Hotels International,ADVENTHTL.NS
Advanced Enzyme Technologies,ADVENZYMES.NS
Aegis Logistics,AEGISLOG.NS
Aegis Vopak Terminals,AEGISVOPAK.NS
Artemis Electricals and Projects,AEPL.NS
Aequs,AEQUS.NS
Aeroflex Enterprises,AEROENTER.NS
Aeroflex Industries,AEROFLEX.NS
Aeroflex Neu,AERONEU.NS
Aether Industries,AETHER.NS
Afcons Infrastructure,AFCONS.NS
Affle 3i,AFFLE.NS
Affordable Robotic & Automation,AFFORDABLE.NS
Akme Fintrade (India),AFIL.NS
Abans Financial Services,AFSL.NS
Agarwal Industrial Corporation,AGARIND.NS
Dr. Agarwal's Health Care,AGARWALEYE.NS
AGI Greenpac,AGI.NS
Agi Infra,AGIIL.NS
Agri-Tech (India),AGRITECH.NS
Agro Phos India,AGROPHOS.NS
AGS Transact Technologies,AGSTRA.NS
Anlon Healthcare,AHCL.NS
Ahlada Engineers,AHLADA.NS
Asian Hotels (East),AHLEAST.NS
Ahluwalia Contracts (India),AHLUCONT.NS
Asian Hotels (West),AHLWEST.NS
AIA Engineering,AIAENG.NS
Authum Investment & Infrastructure,AIIL.NS
Airan,AIRAN.NS
Airo Lam,AIROLAM.NS
Ajanta Pharma,AJANTPHARM.NS
Ajax Engineering,AJAXENGG.NS
Ajmera Realty & Infra India,AJMERA.NS
Ajooni Biotech,AJOONI.NS
Akash Infra-Projects,AKASH.NS
AK Capital Services,AKCAPIT.NS
Akg Exim,AKG.NS
AKI India,AKI.NS
Akshar Spintex,AKSHAR.NS
AksharChem India,AKSHARCHEM.NS
Aksh Optifibre,AKSHOPTFBR.NS
Akums Drugs and Pharmaceuticals,AKUMS.NS
Alankit,ALANKIT.NS
Albert David,ALBERTDAVD.NS
Alembic,ALEMBICLTD.NS
Algoquant Fintech,ALGOQUANT.NS
Alicon Castalloy,ALICON.NS
Alivus Life Sciences,ALIVUS.NS
Alkali Metals,ALKALI.NS
Alkem Laboratories,ALKEM.NS
Alkyl Amines Chemicals,ALKYLAMINE.NS
Allcargo Logistics,ALLCARGO.NS
Alldigi Tech,ALLDIGI.NS
All Time Plastics,ALLTIME.NS
Almondz Global Securities,ALMONDZ.NS
Alok Industries,ALOKINDS.NS
Alpa Laboratories,ALPA.NS
Alphageo (India),ALPHAGEO.NS
Amagi Media Labs,AMAGI.NS
